# Baseline: 2026-07-21T18:49:25+02:00 GCC_OPT=-O2 TCC=8c18fcc0
test,function,tcc_O2,gcc_-O2
gcc-compile/20121220-1,cirrus_colorexpand_notsrc_or_dst_8,11,8
gcc-compile/20140110-1,f,10,5
gcc-compile/20140213,bar,22,26
gcc-compile/20140528-1,f,9,5
gcc-compile/20140723-1,f,16,15
gcc-compile/20140816-1,init_emit_regs,12,7
gcc-compile/20150108,fn1,112,64
gcc-compile/20150327,fn1,16,11
gcc-compile/20150327,fn2,1,1
gcc-compile/20151204,main,31,27
gcc-compile/20160205-1,fn1,11,11
gcc-compile/20160615-1,foo,16,11
gcc-compile/20160802-1,g,25,17
gcc-compile/20161123-1,f,4,3
gcc-compile/20161124-1,foo,43,30
gcc-compile/20170419-1,fdim,47,46
gcc-compile/20180309-1,foo,38,37
gcc-compile/20180915-1,g,30,12
